Toldalék_kódja;Toldalék_típusa;Toldalék_csoportja;Alapszó_szófaja;Származékszó_szófaja;Leírás
IK;I;7;IGE;IGE;igekötő
FF;P;1;MN;MN;felső fok jele
TF;P;1;MN;MN;túlzó fok jele
VV;K;0;IGE;IGE;igéből igét képző (deverbális verbumképző)
NV;K;0;NSZ;IGE;névszóból igét képző (denominális verbumképző)
VFI;K;0;IGE;FIN;igéből főnévi igenevet képző
VMI;K;0;IGE;MIN;igéből melléknévi igenevet képző
VHI;K;0;IGE;HIN;igéből határozói igenevet képző
VFN;K;0;IGE;FN;igéből főnevet képző (deverbális nomenképző)
VMN;K;0;IGE;MN;igéből melléknevet képző (deverbális nomenképző)
NN;K;0;NSZ;NSZ;névszóból névszót képző (denominális nomenképző)
NFN;K;0;NSZ;FN;névszóból főnevet képző (denominális nomenképző)
NMN;K;0;NSZ;MN;névszóból melléknevet képző (denominális nomenképző)
NSZN;K;0;NSZ;SZN;névszóból számnevet képző (denominális nomenképző)
M;J;2;IGE;IGE;kijelentő mód, múlt idő
F;J;2;IGE;IGE;feltételes mód, jelen idő
P;J;2;IGE;IGE;felszólító mód, jelen idő
PL;J;3;NSZ;NSZ;többesszám jele
FAM;J;3;NSZ;NSZ;heterogén többesjel
PSi;J;0;NSZ;NSZ;birtoktöbbesítő jel
POS;J;0;FN;FN;birtokjel
PSe1;J;4;FN;FN;birtokos személyjel, egyes szám első személy
PSe2;J;4;FN;FN;birtokos személyjel, egyes szám második személy
PSe3;J;4;FN;FN;birtokos személyjel, egyes szám harmadik személy
PSt1;J;4;FN;FN;birtokos személyjel, többes szám első személy
PSt2;J;4;FN;FN;birtokos személyjel, többes szám második személy
PSt3;J;4;FN;FN;birtokos személyjel, többes szám harmadik személy
FOK;J;0;MN;MN;fokjel
KI;J;0;MN;MN;kiemelőjel
ACC;R;5;NSZ;NSZ;tárgyrag (accusativus)
DAT;R;5;NSZ;NSZ;esetrag (dativus)
ILL;R;5;NSZ;NSZ;esetrag (illativus)
INE;R;5;NSZ;NSZ;esetrag (inessivus)
ELA;R;5;NSZ;NSZ;esetrag (elativus)
ALL;R;5;NSZ;NSZ;esetrag (allativus)
ADE;R;5;NSZ;NSZ;esetrag (adessivus)
ABL;R;5;NSZ;NSZ;esetrag (ablativus)
SUB;R;5;NSZ;NSZ;esetrag (sublativus)
SUP;R;5;NSZ;NSZ;esetrag (superessivus)
DEL;R;5;NSZ;NSZ;esetrag (delativus)
INS;R;5;NSZ;NSZ;esetrag (instrumentalis)
FAC;R;5;NSZ;NSZ;esetrag (factivus)
FOR;R;5;NSZ;NSZ;esetrag (formativus)
TEM;R;5;NSZ;NSZ;esetrag (temporalis)
CAU;R;5;NSZ;NSZ;esetrag (causalis)
TER;R;5;NSZ;NSZ;esetrag (terminativus)
ESS;R;5;NSZ;NSZ;esetrag (essivus formalis)
DIS;R;5;NSZ;NSZ;esetrag (distributivus)
SOC;R;5;NSZ;NSZ;esetrag (sociativus)
FRM;R;5;NSZ;NSZ;esetrag (formalis)
DIT;R;5;NSZ;NSZ;esetrag (distributiv temporalis)
MES;R;5;MN;MN;esetrag (modalis-essivus)
MUL;R;5;SZN;SZN;esetrag (multiplicativus)
e1;R;6;IGE;IGE;általános igeragozás, egyes szám első személy
e2;R;6;IGE;IGE;általános igeragozás, egyes szám második személy
e3;R;6;IGE;IGE;általános igeragozás, egyes szám harmadik személy
t1;R;6;IGE;IGE;általános igeragozás, többes szám első személy
t2;R;6;IGE;IGE;általános igeragozás, többes szám második személy
t3;R;6;IGE;IGE;általános igeragozás, többes szám harmadik személy
He1;R;6;IGE;IGE;határozott igeragozás, egyes szám első személy
He2;R;6;IGE;IGE;határozott igeragozás, egyes szám második személy
He3;R;6;IGE;IGE;határozott igeragozás, egyes szám harmadik személy
Ht1;R;6;IGE;IGE;határozott igeragozás, többes szám első személy
Ht2;R;6;IGE;IGE;határozott igeragozás, többes szám második személy
Ht3;R;6;IGE;IGE;határozott igeragozás, többes szám harmadik személy
IKe1;R;6;IGE;IGE;ikes igeragozás, egyes szám első személy
IKe2;R;6;IGE;IGE;ikes igeragozás, egyes szám második személy
IKe3;R;6;IGE;IGE;ikes igeragozás, egyes szám harmadik személy
